Pathogen Target,Week End,National WVAL
Influenza A virus,7/4/2026,1
Influenza A virus,6/27/2026,1
Influenza A virus,6/20/2026,1
Influenza A virus,6/13/2026,1
Influenza A virus,6/6/2026,1
Influenza A virus,5/30/2026,1
Influenza A virus,5/23/2026,1
Influenza A virus,5/16/2026,1
Influenza A virus,5/9/2026,1
Influenza A virus,5/2/2026,1
Influenza A virus,4/25/2026,1
Influenza A virus,4/18/2026,1
Influenza A virus,4/11/2026,1
Influenza A virus,4/4/2026,1
Influenza A virus,3/28/2026,1
Influenza A virus,3/21/2026,1
Influenza A virus,3/14/2026,1
Influenza A virus,3/7/2026,1
Influenza A virus,2/28/2026,1.91
Influenza A virus,2/21/2026,3.58
Influenza A virus,2/14/2026,4
Influenza A virus,2/7/2026,5.28
Influenza A virus,1/31/2026,5.79
Influenza A virus,1/24/2026,5.22
Influenza A virus,1/17/2026,5.14
Influenza A virus,1/10/2026,9.99
Influenza A virus,1/3/2026,11.39
Influenza A virus,12/27/2025,10.38
Influenza A virus,12/20/2025,6.49
Influenza A virus,12/13/2025,3.26
Influenza A virus,12/6/2025,2.01
Influenza A virus,11/29/2025,1.39
Influenza A virus,11/22/2025,1
Influenza A virus,11/15/2025,1
Influenza A virus,11/8/2025,1
Influenza A virus,11/1/2025,1
Influenza A virus,10/25/2025,1
Influenza A virus,10/18/2025,1
Influenza A virus,10/11/2025,1
Influenza A virus,10/4/2025,1
Influenza A virus,9/27/2025,1
Influenza A virus,9/20/2025,1
Influenza A virus,9/13/2025,1
Influenza A virus,9/6/2025,1
Influenza A virus,8/30/2025,1
Influenza A virus,8/23/2025,1
Influenza A virus,8/16/2025,1
Influenza A virus,8/9/2025,1
Influenza A virus,8/2/2025,1
Influenza A virus,7/26/2025,1
Influenza A virus,7/19/2025,1
Influenza A virus,7/12/2025,1
Influenza A virus,7/5/2025,1
Influenza A virus,6/28/2025,1
Influenza A virus,6/21/2025,1
Influenza A virus,6/14/2025,1
Influenza A virus,6/7/2025,1
Influenza A virus,5/31/2025,1
Influenza A virus,5/24/2025,1
Influenza A virus,5/17/2025,1
Influenza A virus,5/10/2025,1
Influenza A virus,5/3/2025,1
Influenza A virus,4/26/2025,1
Influenza A virus,4/19/2025,1
Influenza A virus,4/12/2025,1
Influenza A virus,4/5/2025,1.41
Influenza A virus,3/29/2025,2.12
Influenza A virus,3/22/2025,3.37
Influenza A virus,3/15/2025,5.28
Influenza A virus,3/8/2025,8.32
Influenza A virus,3/1/2025,9.87
Influenza A virus,2/22/2025,13.47
Influenza A virus,2/15/2025,16.46
Influenza A virus,2/8/2025,18.29
Influenza A virus,2/1/2025,19.07
Influenza A virus,1/25/2025,19.56
Influenza A virus,1/18/2025,11.98
Influenza A virus,1/11/2025,10.38
Influenza A virus,1/4/2025,10.55
Influenza A virus,12/28/2024,8.03
Influenza A virus,12/21/2024,4.5
Influenza A virus,12/14/2024,2.11
Influenza A virus,12/7/2024,1.54
Influenza A virus,11/30/2024,1
Influenza A virus,11/23/2024,1
Influenza A virus,11/16/2024,1
Influenza A virus,11/9/2024,1
Influenza A virus,11/2/2024,1
Influenza A virus,10/26/2024,1
Influenza A virus,10/19/2024,1
Influenza A virus,10/12/2024,1
Influenza A virus,10/5/2024,1
Influenza A virus,9/28/2024,1
Influenza A virus,9/21/2024,1
Influenza A virus,9/14/2024,1
Influenza A virus,9/7/2024,1
Influenza A virus,8/31/2024,1
Influenza A virus,8/24/2024,1
Influenza A virus,8/17/2024,1
Influenza A virus,8/10/2024,1
Influenza A virus,8/3/2024,1
Influenza A virus,7/27/2024,1
Influenza A virus,7/20/2024,1
Influenza A virus,7/13/2024,1
